2022-06-11 16:26:55.067,Duty Cycle (%),LDR 1
2022-06-11 16:26:55.168,0,0
2022-06-11 16:26:56.169,0,0
2022-06-11 16:26:57.167,0,0
2022-06-11 16:26:58.167,0,0
2022-06-11 16:26:59.168,0,0
2022-06-11 16:27:00.167,0,0
2022-06-11 16:27:01.168,0,0
2022-06-11 16:27:02.169,0,0
2022-06-11 16:27:03.166,0,0
2022-06-11 16:27:04.168,0,0
2022-06-11 16:27:05.169,0,0
2022-06-11 16:27:06.268,1,0
2022-06-11 16:27:07.268,1,249
2022-06-11 16:27:08.268,1,281
2022-06-11 16:27:09.266,1,288
2022-06-11 16:27:10.266,1,305
2022-06-11 16:27:11.270,1,296
2022-06-11 16:27:12.267,1,272
2022-06-11 16:27:13.269,1,295
2022-06-11 16:27:14.267,1,297
2022-06-11 16:27:15.268,1,319
2022-06-11 16:27:16.269,1,293
2022-06-11 16:27:17.368,2,532
2022-06-11 16:27:18.372,2,546
2022-06-11 16:27:19.369,2,550
2022-06-11 16:27:20.369,2,528
2022-06-11 16:27:21.367,2,557
2022-06-11 16:27:22.367,2,550
2022-06-11 16:27:23.369,2,554
2022-06-11 16:27:24.369,2,550
2022-06-11 16:27:25.371,2,555
2022-06-11 16:27:26.367,2,548
2022-06-11 16:27:27.368,2,545
2022-06-11 16:27:28.466,3,731
2022-06-11 16:27:29.466,3,739
2022-06-11 16:27:30.468,3,722
2022-06-11 16:27:31.469,3,725
2022-06-11 16:27:32.470,3,731
2022-06-11 16:27:33.468,3,720
2022-06-11 16:27:34.469,3,731
2022-06-11 16:27:35.467,3,732
2022-06-11 16:27:36.467,3,735
2022-06-11 16:27:37.467,3,733
2022-06-11 16:27:38.468,3,732
2022-06-11 16:27:39.569,4,865
2022-06-11 16:27:40.569,4,875
2022-06-11 16:27:41.569,4,881
2022-06-11 16:27:42.568,4,851
2022-06-11 16:27:43.567,4,851
2022-06-11 16:27:44.568,4,847
2022-06-11 16:27:45.570,4,848
2022-06-11 16:27:46.569,4,907
2022-06-11 16:27:47.567,4,869
2022-06-11 16:27:48.571,4,867
2022-06-11 16:27:49.569,4,874
2022-06-11 16:27:50.668,5,976
2022-06-11 16:27:51.670,5,976
2022-06-11 16:27:52.677,5,965
2022-06-11 16:27:53.669,5,973
2022-06-11 16:27:54.669,5,977
2022-06-11 16:27:55.667,5,981
2022-06-11 16:27:56.669,5,981
2022-06-11 16:27:57.672,5,986
2022-06-11 16:27:58.667,5,985
2022-06-11 16:27:59.671,5,990
2022-06-11 16:28:00.678,5,987
2022-06-11 16:28:01.772,6,1099
2022-06-11 16:28:02.771,6,1091
2022-06-11 16:28:03.768,6,1093
2022-06-11 16:28:04.769,6,1101
2022-06-11 16:28:05.771,6,1097
2022-06-11 16:28:06.768,6,1102
2022-06-11 16:28:07.772,6,1102
2022-06-11 16:28:08.770,6,1098
2022-06-11 16:28:09.767,6,1099
2022-06-11 16:28:10.768,6,1095
2022-06-11 16:28:11.771,6,1091
2022-06-11 16:28:12.871,7,1198
2022-06-11 16:28:13.871,7,1201
2022-06-11 16:28:14.868,7,1200
2022-06-11 16:28:15.870,7,1199
2022-06-11 16:28:16.867,7,1202
2022-06-11 16:28:17.871,7,1200
2022-06-11 16:28:18.871,7,1200
2022-06-11 16:28:19.871,7,1200
2022-06-11 16:28:20.878,7,1201
2022-06-11 16:28:21.871,7,1201
2022-06-11 16:28:22.869,7,1201
2022-06-11 16:28:23.968,8,1281
2022-06-11 16:28:24.979,8,1281
2022-06-11 16:28:25.970,8,1328
2022-06-11 16:28:26.968,8,1281
2022-06-11 16:28:27.969,8,1293
2022-06-11 16:28:28.970,8,1283
2022-06-11 16:28:29.970,8,1282
2022-06-11 16:28:30.971,8,1286
2022-06-11 16:28:31.971,8,1281
2022-06-11 16:28:32.970,8,1282
2022-06-11 16:28:33.971,8,1280
2022-06-11 16:28:35.069,9,1415
2022-06-11 16:28:36.071,9,1359
2022-06-11 16:28:37.070,9,1314
2022-06-11 16:28:38.072,9,1360
2022-06-11 16:28:39.070,9,1357
2022-06-11 16:28:40.071,9,1360
2022-06-11 16:28:41.068,9,1360
2022-06-11 16:28:42.074,9,1356
2022-06-11 16:28:43.070,9,1359
2022-06-11 16:28:44.069,9,1360
2022-06-11 16:28:45.068,9,1359
2022-06-11 16:28:46.168,10,1424
2022-06-11 16:28:47.169,10,1425
2022-06-11 16:28:48.170,10,1434
2022-06-11 16:28:49.170,10,1425
2022-06-11 16:28:50.173,10,1424
2022-06-11 16:28:51.168,10,1424
2022-06-11 16:28:52.169,10,1425
2022-06-11 16:28:53.170,10,1424
2022-06-11 16:28:54.169,10,1424
2022-06-11 16:28:55.171,10,1425
2022-06-11 16:28:56.171,10,1421
2022-06-11 16:28:57.270,20,1937
2022-06-11 16:28:58.269,20,1936
2022-06-11 16:28:59.274,20,1936
2022-06-11 16:29:00.271,20,1936
2022-06-11 16:29:01.272,20,1945
2022-06-11 16:29:02.272,20,1947
2022-06-11 16:29:03.273,20,1950
2022-06-11 16:29:04.272,20,1952
2022-06-11 16:29:05.271,20,1947
2022-06-11 16:29:06.269,20,1951
2022-06-11 16:29:07.270,20,1950
2022-06-11 16:29:08.369,30,2255
2022-06-11 16:29:09.378,30,2256
2022-06-11 16:29:10.371,30,2261
2022-06-11 16:29:11.372,30,2257
2022-06-11 16:29:12.371,30,2257
2022-06-11 16:29:13.370,30,2250
2022-06-11 16:29:14.369,30,2255
2022-06-11 16:29:15.371,30,2256
2022-06-11 16:29:16.371,30,2256
2022-06-11 16:29:17.370,30,2256
2022-06-11 16:29:18.373,30,2256
2022-06-11 16:29:19.472,40,2462
2022-06-11 16:29:20.470,40,2462
2022-06-11 16:29:21.472,40,2471
2022-06-11 16:29:22.470,40,2459
2022-06-11 16:29:23.473,40,2465
2022-06-11 16:29:24.470,40,2455
2022-06-11 16:29:25.472,40,2465
2022-06-11 16:29:26.471,40,2465
2022-06-11 16:29:27.470,40,2467
2022-06-11 16:29:28.472,40,2469
2022-06-11 16:29:29.470,40,2467
2022-06-11 16:29:30.570,50,2640
2022-06-11 16:29:31.573,50,2663
2022-06-11 16:29:32.571,50,2670
2022-06-11 16:29:33.574,50,2647
2022-06-11 16:29:34.570,50,2672
2022-06-11 16:29:35.572,50,2671
2022-06-11 16:29:36.570,50,2671
2022-06-11 16:29:37.571,50,2667
2022-06-11 16:29:38.572,50,2677
2022-06-11 16:29:39.573,50,2684
2022-06-11 16:29:40.571,50,2683
2022-06-11 16:29:41.673,60,2784
2022-06-11 16:29:42.669,60,2793
2022-06-11 16:29:43.674,60,2791
2022-06-11 16:29:44.669,60,2789
2022-06-11 16:29:45.672,60,2787
2022-06-11 16:29:46.670,60,2791
2022-06-11 16:29:47.670,60,2784
2022-06-11 16:29:48.673,60,2788
2022-06-11 16:29:49.671,60,2787
2022-06-11 16:29:50.673,60,2783
2022-06-11 16:29:51.670,60,2787
2022-06-11 16:29:52.770,70,2873
2022-06-11 16:29:53.772,70,2876
2022-06-11 16:29:54.774,70,2877
2022-06-11 16:29:55.770,70,2877
2022-06-11 16:29:56.773,70,2874
2022-06-11 16:29:57.770,70,2875
2022-06-11 16:29:58.771,70,2878
2022-06-11 16:29:59.773,70,2885
2022-06-11 16:30:00.772,70,2877
2022-06-11 16:30:01.771,70,2875
2022-06-11 16:30:02.773,70,2875
2022-06-11 16:30:03.873,80,2949
2022-06-11 16:30:04.872,80,2947
2022-06-11 16:30:05.874,80,2947
2022-06-11 16:30:06.873,80,2953
2022-06-11 16:30:07.875,80,2950
2022-06-11 16:30:08.871,80,2950
2022-06-11 16:30:09.873,80,2950
2022-06-11 16:30:10.873,80,2953
2022-06-11 16:30:11.874,80,2949
2022-06-11 16:30:12.871,80,2950
2022-06-11 16:30:13.874,80,2951
2022-06-11 16:30:14.971,90,3015
2022-06-11 16:30:15.973,90,3017
2022-06-11 16:30:16.972,90,3017
2022-06-11 16:30:17.970,90,3020
2022-06-11 16:30:18.976,90,2997
2022-06-11 16:30:19.971,90,3019
2022-06-11 16:30:20.972,90,3020
2022-06-11 16:30:21.971,90,3009
2022-06-11 16:30:22.972,90,3017
2022-06-11 16:30:23.972,90,3021
2022-06-11 16:30:24.976,90,3017
2022-06-11 16:30:26.071,100,2999
2022-06-11 16:30:27.074,100,3067
2022-06-11 16:30:28.074,100,3056
2022-06-11 16:30:29.072,100,3078
2022-06-11 16:30:30.074,100,3070
2022-06-11 16:30:31.073,100,3069
2022-06-11 16:30:32.072,100,3075
2022-06-11 16:30:33.073,100,3070
2022-06-11 16:30:34.080,100,3070
2022-06-11 16:30:35.072,100,3077
2022-06-11 16:30:36.074,100,3083
